Date,Views
2022-07-16,3
2022-07-17,1
2022-07-18,3
2022-07-19,2
2022-07-20,4
2022-07-21,4
2022-07-22,3
2022-07-23,7
2022-07-24,2
2022-07-25,2
2022-07-26,4
2022-07-27,3
2022-07-28,0
2022-07-29,4
2022-07-30,2
2022-07-31,0
2022-08-01,1
2022-08-02,1
2022-08-03,3
2022-08-04,8
2022-08-05,6
2022-08-06,7
2022-08-07,7
2022-08-08,13
2022-08-09,8
2022-08-10,5
2022-08-11,32
2022-08-12,29
2022-08-13,8
2022-08-14,9
2022-08-15,41
2022-08-16,67
2022-08-17,90
2022-08-18,124
2022-08-19,170
2022-08-20,350
2022-08-21,397
2022-08-22,371
2022-08-23,2404
2022-08-24,3681
2022-08-25,5907
2022-08-26,22079
2022-08-27,27767
2022-08-28,28195
2022-08-29,26309
2022-08-30,19002
2022-08-31,11710
2022-09-01,14487
2022-09-02,14250
2022-09-03,8130
2022-09-04,11579
2022-09-05,14369
2022-09-06,14873
2022-09-07,19664
2022-09-08,20297
2022-09-09,47631
2022-09-10,56644
2022-09-11,49536
2022-09-12,62759
2022-09-13,52828
2022-09-14,54046
2022-09-15,39983
2022-09-16,57750
2022-09-17,50527
2022-09-18,33567
2022-09-19,27816
2022-09-20,18839
2022-09-21,19709
2022-09-22,13216
2022-09-23,10160
2022-09-24,9922
2022-09-25,5731
2022-09-26,3916
2022-09-27,2984
2022-09-28,2694
2022-09-29,2047
2022-09-30,4146
2022-10-01,14120
2022-10-02,26290
2022-10-03,19223
2022-10-04,10219
2022-10-05,8482
2022-10-06,9221
2022-10-07,8422
2022-10-08,8022
2022-10-09,9355
2022-10-10,9863
2022-10-11,8096
2022-10-12,8774
2022-10-13,10512
2022-10-14,9554
2022-10-15,9176
2022-10-16,9923
2022-10-17,6021
2022-10-18,5588
2022-10-19,5848
2022-10-20,7523
2022-10-21,10567
2022-10-22,8611
2022-10-23,12451
2022-10-24,9515
2022-10-25,5731
2022-10-26,6970
2022-10-27,6413
2022-10-28,7144
2022-10-29,6269
2022-10-30,6003
2022-10-31,2384
2022-11-01,1373
2022-11-02,751
2022-11-03,660
2022-11-04,430
2022-11-05,402
2022-11-06,470
2022-11-07,259
2022-11-08,462
2022-11-09,263
2022-11-10,352
2022-11-11,340
2022-11-12,362
2022-11-13,490
2022-11-14,408
2022-11-15,541
2022-11-16,619
2022-11-17,1099
2022-11-18,2185
2022-11-19,2634
2022-11-20,3069
2022-11-21,2332
2022-11-22,2763
2022-11-23,2622
2022-11-24,2180
2022-11-25,2966
2022-11-26,6214
2022-11-27,3974
2022-11-28,4256
2022-11-29,5307
2022-11-30,7595
2022-12-01,7953
2022-12-02,4642
2022-12-03,4161
2022-12-04,4593
2022-12-05,3393
2022-12-06,3893
2022-12-07,4428
2022-12-08,4610
2022-12-09,3224
2022-12-10,867
2022-12-11,632
2022-12-12,560
2022-12-13,339
2022-12-14,341
2022-12-15,228
2022-12-16,230
2022-12-17,272
2022-12-18,249
2022-12-19,367
2022-12-20,224
2022-12-21,98
2022-12-22,126
2022-12-23,183
2022-12-24,149
2022-12-25,94
2022-12-26,92
2022-12-27,155
2022-12-28,131
2022-12-29,137
2022-12-30,121
2022-12-31,82
2023-01-01,98
2023-01-02,103
2023-01-03,130
2023-01-04,127
2023-01-05,117
2023-01-06,109
2023-01-07,112
2023-01-08,89
2023-01-09,69
2023-01-10,82
2023-01-11,76
2023-01-12,81
2023-01-13,88
2023-01-14,97
2023-01-15,86
2023-01-16,81
2023-01-17,75
2023-01-18,72
2023-01-19,72
2023-01-20,1462
2023-01-21,1380
2023-01-22,2537
2023-01-23,3410
2023-01-24,10726
2023-01-25,44108
2023-01-26,31101
2023-01-27,28559
2023-01-28,39593
2023-01-29,38362
2023-01-30,23973
2023-01-31,22315
2023-02-01,19160
2023-02-02,18427
2023-02-03,16761
2023-02-04,21977
2023-02-05,35027
2023-02-06,58061
2023-02-07,67892
2023-02-08,49221
2023-02-09,85506
2023-02-10,62984
2023-02-11,41397
2023-02-12,32993
2023-02-13,26650
2023-02-14,26307
2023-02-15,20398
2023-02-16,16901
2023-02-17,17175
2023-02-18,16173
2023-02-19,11562
2023-02-20,10054
2023-02-21,9954
2023-02-22,9135
2023-02-23,11178
2023-02-24,8203
2023-02-25,7722
2023-02-26,7028
2023-02-27,6462
2023-02-28,6440
2023-03-01,5946
2023-03-02,4525
2023-03-03,4624
2023-03-04,4893
2023-03-05,4189
2023-03-06,4146
2023-03-07,5198
2023-03-08,8586
2023-03-09,12463
2023-03-10,10689
2023-03-11,12155
2023-03-12,12573
2023-03-13,12438
2023-03-14,13208
2023-03-15,13516
2023-03-16,11247
2023-03-17,11169
2023-03-18,10689
2023-03-19,13008
2023-03-20,13516
2023-03-21,17544
2023-03-22,19560
2023-03-23,21161
2023-03-24,25812
2023-03-25,27535
2023-03-26,24685
2023-03-27,18299
2023-03-28,16291
2023-03-29,17118
2023-03-30,17950
2023-03-31,18898
2023-04-01,18804
2023-04-02,18262
2023-04-03,14632
2023-04-04,16593
2023-04-05,27138
2023-04-06,25696
2023-04-07,26065
2023-04-08,25351
2023-04-09,23873
2023-04-10,19272
2023-04-11,15330
2023-04-12,9854
