k,context,next,probability
2,<s>t,f,0.00369004
2,<s>t,g,0.00184502
2,<s>t,h,0.17527675
2,<s>t,i,0.07564576
2,<s>t,m,0.00369004
2,<s>t,n,0.00184502
2,<s>t,o,0.12177122
2,<s>t,p,0.00184502
2,<s>t,r,0.25461255
2,<s>t,s,0.00369004
2,<s>t,t,0.00184502
2,<s>t,u,0.04981550
2,<s>t,v,0.00369004
2,<s>t,w,0.01660517
2,<s>t,x,0.00184502
2,<s>t,y,0.01291513
2,<s>u,c,0.00806452
2,<s>u,g,0.01612903
2,<s>u,h,0.00806452
2,<s>u,i,0.00806452
2,<s>u,k,0.01612903
2,<s>u,l,0.04032258
2,<s>u,m,0.00806452
2,<s>u,n,0.44354839
2,<s>u,p,0.12903226
2,<s>u,r,0.07258065
2,<s>u,s,0.16129032
2,<s>u,t,0.06451613
2,<s>u,v,0.00806452
2,<s>u,w,0.00806452
2,<s>u,z,0.00806452
2,<s>v,a,0.22162162
2,<s>v,b,0.01081081
2,<s>v,c,0.01081081
2,<s>v,e,0.22162162
2,<s>v,g,0.00540541
2,<s>v,h,0.00540541
2,<s>v,i,0.34054054
2,<s>v,o,0.14594595
2,<s>v,p,0.01081081
2,<s>v,s,0.01081081
2,<s>v,t,0.00540541
2,<s>v,u,0.01081081
2,<s>w,a,0.25614035
2,<s>w,b,0.00350877
2,<s>w,c,0.00350877
2,<s>w,e,0.17894737
2,<s>w,h,0.08070175
2,<s>w,i,0.21403509
2,<s>w,m,0.00701754
2,<s>w,n,0.00350877
2,<s>w,o,0.15789474
2,<s>w,p,0.00350877
2,<s>w,r,0.05614035
2,<s>w,s,0.00350877
2,<s>w,t,0.00701754
2,<s>w,u,0.00350877
2,<s>w,v,0.00350877
2,<s>w,w,0.00701754
2,<s>w,x,0.00350877
2,<s>w,y,0.00701754
2,<s>x,a,0.12500000
2,<s>x,b,0.12500000
2,<s>x,e,0.12500000
2,<s>x,h,0.12500000
2,<s>x,i,0.12500000
2,<s>x,l,0.12500000
2,<s>x,m,0.12500000
2,<s>x,p,0.12500000
2,<s>y,a,0.21951220
2,<s>y,e,0.31707317
2,<s>y,i,0.04878049
2,<s>y,n,0.02439024
2,<s>y,o,0.26829268
2,<s>y,r,0.04878049
2,<s>y,u,0.07317073
2,<s>z,a,0.10000000
2,<s>z,d,0.05000000
2,<s>z,e,0.15000000
2,<s>z,i,0.15000000
2,<s>z,o,0.35000000
2,<s>z,s,0.05000000
2,<s>z,u,0.15000000
2,aa,</s>,0.50000000
2,aa,a,0.16666667
2,aa,c,0.16666667
2,aa,r,0.16666667
2,ab,</s>,0.05303030
2,ab,a,0.03030303
2,ab,b,0.00757576
2,ab,c,0.00757576
2,ab,e,0.06818182
2,ab,i,0.18939394
2,ab,l,0.40151515
2,ab,o,0.08333333
2,ab,r,0.03787879
2,ab,s,0.07575758
2,ab,u,0.03030303
2,ab,w,0.00757576
2,ab,y,0.00757576
2,ac,</s>,0.02484472
2,ac,a,0.01863354
2,ac,c,0.12111801
2,ac,d,0.00310559
2,ac,e,0.13043478
2,ac,h,0.12422360
2,ac,i,0.04968944
2,ac,k,0.17080745
2,ac,l,0.00621118
2,ac,m,0.00310559
2,ac,n,0.00310559
2,ac,o,0.01552795
2,ac,q,0.01242236
2,ac,r,0.03105590
2,ac,s,0.00310559
2,ac,t,0.23913043
2,ac,u,0.01552795
2,ac,y,0.02795031
2,ad,</s>,0.16101695
2,ad,a,0.06779661
2,ad,b,0.00423729
2,ad,c,0.00847458
2,ad,d,0.06779661
2,ad,e,0.17372881
2,ad,f,0.00423729
2,ad,g,0.00847458
2,ad,i,0.11016949
2,ad,j,0.02542373
2,ad,l,0.02966102
2,ad,m,0.04237288
2,ad,n,0.00423729
2,ad,o,0.05932203
2,ad,p,0.00423729
2,ad,q,0.00423729
2,ad,r,0.00847458
2,ad,s,0.05084746
2,ad,u,0.03389831
2,ad,v,0.10593220
2,ad,w,0.00847458
2,ad,y,0.01694915
2,ae,</s>,0.37500000
2,ae,l,0.37500000
2,ae,r,0.25000000
2,af,</s>,0.07500000
2,af,a,0.05000000
2,af,e,0.12500000
2,af,f,0.37500000
2,af,g,0.02500000
2,af,o,0.02500000
2,af,r,0.07500000
2,af,t,0.25000000
2,ag,</s>,0.04166667
2,ag,a,0.04166667
2,ag,e,0.54166667
2,ag,g,0.02083333
2,ag,h,0.00694444
2,ag,i,0.07638889
2,ag,l,0.01388889
2,ag,n,0.05555556
2,ag,o,0.03472222
2,ag,r,0.09027778
2,ag,s,0.02777778
2,ag,u,0.04861111
2,ah,</s>,0.42857143
2,ah,a,0.23809524
2,ah,e,0.09523810
2,ah,o,0.19047619
2,ah,r,0.04761905
2,ai,</s>,0.03669725
2,ai,c,0.00458716
2,ai,d,0.05045872
2,ai,g,0.01834862
2,ai,i,0.00917431
2,ai,j,0.00458716
2,ai,l,0.19724771
2,ai,m,0.03669725
2,ai,n,0.42660550
2,ai,r,0.13302752
2,ai,s,0.04128440
2,ai,t,0.03211009
2,ai,v,0.00458716
2,ai,w,0.00458716
2,aj,</s>,0.33333333
2,aj,o,0.66666667
2,ak,</s>,0.13559322
2,ak,a,0.01694915
2,ak,d,0.01694915
2,ak,e,0.57627119
2,ak,f,0.01694915
2,ak,h,0.01694915
2,ak,i,0.13559322
2,ak,l,0.01694915
2,ak,o,0.01694915
2,ak,s,0.05084746
2,al,</s>,0.39318885
2,al,a,0.02476780
2,al,b,0.01083591
2,al,c,0.01238390
2,al,d,0.01238390
2,al,e,0.06346749
2,al,f,0.00464396
2,al,g,0.00773994
2,al,i,0.09133127
2,al,k,0.01393189
2,al,l,0.17337461
2,al,m,0.00928793
2,al,n,0.00154799
2,al,o,0.02012384
2,al,p,0.00773994
2,al,r,0.00154799
2,al,s,0.06191950
2,al,t,0.04643963
2,al,u,0.02012384
2,al,v,0.00773994
2,al,w,0.00154799
2,al,y,0.01393189
2,am,</s>,0.17061611
2,am,a,0.07582938
2,am,b,0.07582938
2,am,c,0.00947867
2,am,d,0.00473934
2,am,e,0.25592417
2,am,i,0.12796209
2,am,m,0.03791469
2,am,o,0.03791469
2,am,p,0.13744076
2,am,s,0.05687204
2,am,u,0.00473934
2,am,y,0.00473934
2,an,</s>,0.17337032
2,an,a,0.05131761
2,an,b,0.00277393
2,an,c,0.11789182
2,an,d,0.14979196
2,an,e,0.03328710
2,an,f,0.00138696
2,an,g,0.06102635
2,an,h,0.00138696
2,an,i,0.06380028
2,an,k,0.03051318
2,an,l,0.00138696
2,an,m,0.00138696
2,an,n,0.05131761
2,an,o,0.01109570
2,an,s,0.08183079
2,an,t,0.12482663
2,an,u,0.01386963
2,an,v,0.00138696
2,an,w,0.00138696
2,an,x,0.00138696
2,an,y,0.02219140
2,an,z,0.00138696
2,ao,</s>,0.28571429
2,ao,k,0.14285714
2,ao,l,0.14285714
2,ao,r,0.14285714
2,ao,s,0.28571429
2,ap,</s>,0.10119048
2,ap,a,0.05952381
2,ap,e,0.13690476
2,ap,h,0.12500000
2,ap,i,0.04166667
2,ap,l,0.01190476
2,ap,n,0.00595238
2,ap,o,0.03571429
2,ap,p,0.32738095
2,ap,r,0.01190476
2,ap,s,0.04166667
2,ap,t,0.08928571
2,ap,u,0.00595238
2,ap,y,0.00595238
2,aq,</s>,0.50000000
2,aq,i,0.10000000
2,aq,s,0.10000000
2,aq,u,0.30000000
2,ar,</s>,0.09411765
2,ar,a,0.06176471
2,ar,b,0.01911765
2,ar,c,0.04411765
2,ar,d,0.09264706
2,ar,e,0.09852941
2,ar,g,0.04117647
2,ar,i,0.09852941
2,ar,k,0.04558824
2,ar,l,0.03529412
2,ar,m,0.04264706
2,ar,n,0.02500000
2,ar,o,0.01029412
2,ar,p,0.00441176
2,ar,r,0.06176471
2,ar,s,0.03235294
2,ar,t,0.10882353
2,ar,u,0.00441176
2,ar,v,0.00588235
2,ar,w,0.00147059
2,ar,y,0.07205882
2,as,</s>,0.14098361
2,as,a,0.00983607
2,as,b,0.00327869
2,as,c,0.01967213
2,as,d,0.00327869
2,as,e,0.12459016
2,as,g,0.00327869
2,as,h,0.05573770
2,as,i,0.08196721
2,as,k,0.04262295
2,as,m,0.00327869
2,as,n,0.00327869
2,as,o,0.04262295
2,as,p,0.00983607
2,as,s,0.22622951
2,as,t,0.17704918
2,as,u,0.04262295
2,as,y,0.00983607
2,at,</s>,0.05791506
2,at,a,0.01544402
2,at,c,0.02059202
2,at,e,0.24581725
2,at,f,0.00257400
2,at,h,0.04761905
2,at,i,0.42342342
2,at,l,0.00643501
2,at,m,0.00772201
2,at,o,0.04633205
2,at,r,0.01029601
2,at,s,0.01930502
2,at,t,0.05920206
2,at,u,0.03474903
2,at,v,0.00128700
2,at,y,0.00128700
2,au,</s>,0.03614458
2,au,b,0.01204819
2,au,c,0.04819277
2,au,d,0.10843373
2,au,g,0.12048193
2,au,i,0.01204819
2,au,k,0.01204819
2,au,l,0.07228916
2,au,m,0.01204819
2,au,n,0.04819277
2,au,r,0.08433735
2,au,s,0.15662651
2,au,t,0.27710843
2,av,</s>,0.03797468
2,av,a,0.11392405
2,av,e,0.41772152
2,av,g,0.01265823
2,av,i,0.25316456
2,av,o,0.13924051
2,av,y,0.02531646
2,aw,</s>,0.20000000
2,aw,a,0.31428571
2,aw,e,0.02857143
2,aw,f,0.05714286
2,aw,i,0.11428571
2,aw,k,0.02857143
2,aw,n,0.08571429
2,aw,r,0.02857143
2,aw,s,0.08571429
2,aw,y,0.05714286
2,ax,</s>,0.47058824
2,ax,a,0.11764706
2,ax,e,0.05882353
2,ax,i,0.29411765
2,ax,y,0.05882353
2,ay,</s>,0.50000000
2,ay,a,0.01000000
2,ay,b,0.02000000
2,ay,d,0.01000000
2,ay,e,0.13000000
2,ay,i,0.05000000
2,ay,l,0.02000000
2,ay,m,0.04000000
2,ay,n,0.01000000
2,ay,o,0.02000000
2,ay,p,0.01000000
2,ay,r,0.01000000
2,ay,s,0.16000000
2,ay,t,0.01000000
2,az,</s>,0.05263158
2,az,a,0.26315789
2,az,d,0.05263158
2,az,e,0.10526316
2,az,i,0.31578947
2,az,o,0.05263158
2,az,y,0.10526316
2,az,z,0.05263158
2,ba,</s>,0.07096774
2,ba,b,0.04516129
2,ba,c,0.10967742
2,ba,d,0.02580645
2,ba,g,0.03870968
2,ba,h,0.01290323
2,ba,i,0.02580645
2,ba,k,0.01290323
2,ba,l,0.12258065
2,ba,m,0.00645161
2,ba,n,0.15483871
2,ba,p,0.00645161
2,ba,r,0.12258065
2,ba,s,0.12903226
2,ba,t,0.10322581
2,ba,y,0.01290323
2,bb,</s>,0.13333333
2,bb,c,0.06666667
2,bb,e,0.13333333
2,bb,i,0.20000000
2,bb,l,0.06666667
2,bb,o,0.06666667
2,bb,s,0.06666667
2,bb,y,0.26666667
2,bc,</s>,0.50000000
2,bc,a,0.37500000
2,bc,o,0.12500000
2,bd,</s>,0.33333333
2,bd,a,0.33333333
2,bd,i,0.33333333
2,be,</s>,0.07692308
2,be,a,0.11242604
2,be,c,0.04142012
2,be,d,0.05917160
2,be,e,0.02366864
2,be,f,0.00591716
2,be,g,0.04142012
2,be,h,0.02958580
2,be,i,0.01775148
2,be,k,0.00591716
2,be,l,0.13609467
2,be,n,0.07692308
2,be,r,0.22485207
2,be,s,0.06508876
2,be,t,0.05917160
2,be,v,0.01775148
2,be,y,0.00591716
2,bg,</s>,1.00000000
2,bh,</s>,0.50000000
2,bh,u,0.50000000
2,bi,</s>,0.01562500
2,bi,a,0.07812500
2,bi,b,0.03125000
2,bi,c,0.02343750
2,bi,d,0.03906250
2,bi,e,0.05468750
2,bi,g,0.02343750
2,bi,k,0.02343750
2,bi,l,0.28125000
2,bi,n,0.14843750
2,bi,o,0.07031250
2,bi,q,0.00781250
2,bi,r,0.03906250
2,bi,s,0.02343750
2,bi,t,0.11718750
2,bi,z,0.02343750
2,bj,</s>,0.11111111
2,bj,c,0.11111111
2,bj,e,0.77777778
2,bk,</s>,1.00000000
2,bl,</s>,0.01369863
2,bl,a,0.08904110
2,bl,e,0.52054795
2,bl,i,0.19863014
2,bl,o,0.12328767
2,bl,u,0.02054795
2,bl,v,0.00684932
2,bl,y,0.02739726
2,bm,</s>,0.18181818
2,bm,a,0.18181818
2,bm,e,0.09090909
2,bm,i,0.45454545
2,bm,w,0.09090909
2,bn,</s>,0.33333333
2,bn,a,0.66666667
2,bo,</s>,0.03174603
2,bo,a,0.07142857
2,bo,b,0.01587302
2,bo,c,0.00793651
2,bo,d,0.07142857
2,bo,l,0.04761905
2,bo,m,0.00793651
2,bo,n,0.07142857
2,bo,o,0.19047619
2,bo,r,0.15873016
2,bo,s,0.02380952
2,bo,t,0.06349206
2,bo,u,0.11111111
2,bo,v,0.00793651
2,bo,w,0.03174603
2,bo,x,0.06349206
2,bo,y,0.02380952
2,bp,</s>,0.66666667
2,bp,a,0.33333333
2,br,</s>,0.00892857
2,br,a,0.27678571
2,br,e,0.13392857
2,br,i,0.26785714
2,br,o,0.22321429
2,br,u,0.07142857
2,br,y,0.01785714
2,bs,</s>,0.29166667
2,bs,c,0.12500000
2,bs,d,0.02083333
2,bs,e,0.20833333
2,bs,h,0.02083333
2,bs,i,0.08333333
2,bs,o,0.08333333
2,bs,t,0.16666667
2,bt,</s>,0.42857143
2,bt,a,0.42857143
2,bt,l,0.14285714
2,bu,</s>,0.01030928
2,bu,b,0.01030928
2,bu,c,0.02061856
2,bu,d,0.04123711
2,bu,f,0.04123711
2,bu,g,0.03092784
2,bu,i,0.07216495
2,bu,l,0.10309278
2,bu,m,0.03092784
2,bu,n,0.05154639
2,bu,q,0.01030928
2,bu,r,0.17525773
2,bu,s,0.09278351
2,bu,t,0.24742268
2,bu,y,0.05154639
2,bu,z,0.01030928
2,bv,i,1.00000000
2,bw,</s>,0.50000000
2,bw,e,0.50000000
2,by,</s>,0.80000000
2,by,e,0.06666667
2,by,t,0.13333333
2,bz,i,1.00000000
2,ca,</s>,0.03878116
2,ca,a,0.00277008
2,ca,b,0.02216066
2,ca,c,0.00831025
2,ca,d,0.02216066
2,ca,f,0.00277008
2,ca,g,0.00554017
2,ca,i,0.00277008
2,ca,k,0.00554017
2,ca,l,0.21606648
2,ca,m,0.06371191
2,ca,n,0.11080332
2,ca,p,0.04432133
2,ca,r,0.14127424
2,ca,s,0.08587258
2,ca,t,0.19944598
2,ca,u,0.02216066
2,ca,v,0.00277008
2,ca,y,0.00277008
2,cb,</s>,0.50000000
2,cb,s,0.50000000
2,cc,</s>,0.06349206
2,cc,a,0.07936508
2,cc,d,0.01587302
2,cc,e,0.30158730
2,cc,i,0.04761905
2,cc,o,0.25396825
2,cc,r,0.03174603
2,cc,u,0.20634921
2,cd,</s>,0.44444444
2,cd,b,0.11111111
2,cd,n,0.11111111
2,cd,o,0.11111111
2,cd,s,0.11111111
2,cd,t,0.11111111
2,ce,</s>,0.40155440
2,ce,a,0.00259067
2,ce,d,0.06476684
2,ce,e,0.01554404
2,ce,f,0.00259067
2,ce,i,0.02331606
2,ce,l,0.05958549
2,ce,m,0.02849741
2,ce,n,0.10103627
2,ce,o,0.00259067
2,ce,p,0.04404145
2,ce,r,0.06476684
2,ce,s,0.17616580
2,ce,t,0.00777202
2,ce,u,0.00518135
2,cf,</s>,0.50000000
2,cf,r,0.50000000
2,cg,</s>,0.50000000
2,cg,i,0.50000000
2,ch,</s>,0.16025641
2,ch,a,0.25641026
2,ch,e,0.24679487
2,ch,i,0.13461538
2,ch,l,0.00320513
2,ch,m,0.01282051
2,ch,n,0.03205128
