k,context,next,probability
2,</s></s>,</s>,1.00000000
2,<s><s>,a,0.07255776
2,<s><s>,b,0.05249291
2,<s><s>,c,0.10194568
2,<s><s>,d,0.05593839
2,<s><s>,e,0.04671666
2,<s><s>,f,0.04306850
2,<s><s>,g,0.02867856
2,<s><s>,h,0.03293474
2,<s><s>,i,0.03891366
2,<s><s>,j,0.01266721
2,<s><s>,k,0.00982975
2,<s><s>,l,0.03759627
2,<s><s>,m,0.05583705
2,<s><s>,n,0.02280097
2,<s><s>,o,0.02269964
2,<s><s>,p,0.07934739
2,<s><s>,q,0.00456019
2,<s><s>,r,0.05877584
2,<s><s>,s,0.10052696
2,<s><s>,t,0.05492501
2,<s><s>,u,0.01256587
2,<s><s>,v,0.01874747
2,<s><s>,w,0.02888123
2,<s><s>,x,0.00081070
2,<s><s>,y,0.00415484
2,<s><s>,z,0.00202675
2,<s>a,a,0.00418994
2,<s>a,b,0.03212291
2,<s>a,c,0.11592179
2,<s>a,d,0.10893855
2,<s>a,e,0.00418994
2,<s>a,f,0.02793296
2,<s>a,g,0.03072626
2,<s>a,h,0.00279330
2,<s>a,i,0.01955307
2,<s>a,j,0.00139665
2,<s>a,k,0.00279330
2,<s>a,l,0.09776536
2,<s>a,m,0.04050279
2,<s>a,n,0.11312849
2,<s>a,o,0.00139665
2,<s>a,p,0.07541899
2,<s>a,q,0.00418994
2,<s>a,r,0.09357542
2,<s>a,s,0.07681564
2,<s>a,t,0.05865922
2,<s>a,u,0.05167598
2,<s>a,v,0.01815642
2,<s>a,w,0.01256983
2,<s>a,x,0.00139665
2,<s>a,y,0.00139665
2,<s>a,z,0.00279330
2,<s>b,a,0.18339768
2,<s>b,b,0.00579151
2,<s>b,c,0.00193050
2,<s>b,d,0.00193050
2,<s>b,e,0.19305019
2,<s>b,g,0.00193050
2,<s>b,h,0.00193050
2,<s>b,i,0.09266409
2,<s>b,k,0.00193050
2,<s>b,l,0.07722008
2,<s>b,m,0.00386100
2,<s>b,o,0.13127413
2,<s>b,p,0.00193050
2,<s>b,r,0.17181467
2,<s>b,s,0.00193050
2,<s>b,t,0.00193050
2,<s>b,u,0.11583012
2,<s>b,w,0.00193050
2,<s>b,y,0.00772201
2,<s>c,a,0.16003976
2,<s>c,b,0.00198807
2,<s>c,c,0.00198807
2,<s>c,d,0.00397614
2,<s>c,e,0.03479125
2,<s>c,f,0.00198807
2,<s>c,g,0.00198807
2,<s>c,h,0.13121272
2,<s>c,i,0.03479125
2,<s>c,j,0.00099404
2,<s>c,l,0.06858847
2,<s>c,m,0.00198807
2,<s>c,n,0.00298211
2,<s>c,o,0.44731610
2,<s>c,p,0.00198807
2,<s>c,r,0.05268390
2,<s>c,s,0.00298211
2,<s>c,t,0.00198807
2,<s>c,u,0.03479125
2,<s>c,v,0.00198807
2,<s>c,w,0.00099404
2,<s>c,y,0.00596421
2,<s>c,z,0.00198807
2,<s>d,a,0.08695652
2,<s>d,b,0.00181159
2,<s>d,c,0.00181159
2,<s>d,d,0.00362319
2,<s>d,e,0.36594203
2,<s>d,f,0.00181159
2,<s>d,g,0.00181159
2,<s>d,h,0.00181159
2,<s>d,i,0.26268116
2,<s>d,j,0.00181159
2,<s>d,k,0.00181159
2,<s>d,l,0.00181159
2,<s>d,m,0.00181159
2,<s>d,n,0.00362319
2,<s>d,o,0.11413043
2,<s>d,p,0.00362319
2,<s>d,r,0.07971014
2,<s>d,s,0.00543478
2,<s>d,t,0.00362319
2,<s>d,u,0.03985507
2,<s>d,v,0.00543478
2,<s>d,x,0.00181159
2,<s>d,y,0.00724638
2,<s>e,a,0.05856833
2,<s>e,b,0.00867679
2,<s>e,c,0.02603037
2,<s>e,d,0.05422993
2,<s>e,e,0.00216920
2,<s>e,f,0.02386117
2,<s>e,g,0.01084599
2,<s>e,h,0.00216920
2,<s>e,i,0.00433839
2,<s>e,l,0.07375271
2,<s>e,m,0.06290672
2,<s>e,n,0.18655098
2,<s>e,o,0.00216920
2,<s>e,p,0.01518438
2,<s>e,q,0.02386117
2,<s>e,r,0.01952278
2,<s>e,s,0.05206074
2,<s>e,t,0.01735358
2,<s>e,u,0.01518438
2,<s>e,v,0.05856833
2,<s>e,x,0.27331887
2,<s>e,y,0.00650759
2,<s>e,z,0.00216920
2,<s>f,a,0.17647059
2,<s>f,b,0.00235294
2,<s>f,c,0.00470588
2,<s>f,d,0.00470588
2,<s>f,e,0.09411765
2,<s>f,f,0.00235294
2,<s>f,g,0.00235294
2,<s>f,i,0.20000000
2,<s>f,l,0.10352941
2,<s>f,m,0.00235294
2,<s>f,o,0.19294118
2,<s>f,p,0.00235294
2,<s>f,r,0.11764706
2,<s>f,s,0.00235294
2,<s>f,t,0.00470588
2,<s>f,u,0.07764706
2,<s>f,w,0.00470588
2,<s>f,x,0.00235294
2,<s>f,y,0.00235294
2,<s>g,a,0.15194346
2,<s>g,b,0.01060071
2,<s>g,c,0.00706714
2,<s>g,d,0.00706714
2,<s>g,e,0.17314488
2,<s>g,g,0.00353357
2,<s>g,h,0.01060071
2,<s>g,i,0.06360424
2,<s>g,l,0.05300353
2,<s>g,m,0.01413428
2,<s>g,n,0.00706714
2,<s>g,o,0.11307420
2,<s>g,p,0.01060071
2,<s>g,r,0.24381625
2,<s>g,s,0.01060071
2,<s>g,t,0.00706714
2,<s>g,u,0.10600707
2,<s>g,y,0.00353357
2,<s>g,z,0.00353357
2,<s>h,a,0.25230769
2,<s>h,b,0.00307692
2,<s>h,c,0.00307692
2,<s>h,d,0.00615385
2,<s>h,e,0.19692308
2,<s>h,h,0.00307692
2,<s>h,i,0.12000000
2,<s>h,k,0.00307692
2,<s>h,l,0.00307692
2,<s>h,o,0.26153846
2,<s>h,p,0.00307692
2,<s>h,q,0.00307692
2,<s>h,r,0.00923077
2,<s>h,s,0.00307692
2,<s>h,t,0.00923077
2,<s>h,u,0.08923077
2,<s>h,w,0.00307692
2,<s>h,y,0.02461538
2,<s>h,z,0.00307692
2,<s>i,a,0.00520833
2,<s>i,b,0.00260417
2,<s>i,c,0.01822917
2,<s>i,d,0.04427083
2,<s>i,e,0.00520833
2,<s>i,f,0.00260417
2,<s>i,g,0.00520833
2,<s>i,i,0.00520833
2,<s>i,l,0.02083333
2,<s>i,m,0.10677083
2,<s>i,n,0.64583333
2,<s>i,o,0.00781250
2,<s>i,p,0.01041667
2,<s>i,r,0.02864583
2,<s>i,s,0.05468750
2,<s>i,t,0.02864583
2,<s>i,v,0.00520833
2,<s>i,x,0.00260417
2,<s>j,a,0.22400000
2,<s>j,c,0.00800000
2,<s>j,d,0.00800000
2,<s>j,e,0.19200000
2,<s>j,i,0.02400000
2,<s>j,j,0.00800000
2,<s>j,m,0.00800000
2,<s>j,o,0.26400000
2,<s>j,p,0.02400000
2,<s>j,r,0.00800000
2,<s>j,s,0.00800000
2,<s>j,u,0.21600000
2,<s>j,v,0.00800000
2,<s>k,a,0.13402062
2,<s>k,b,0.01030928
2,<s>k,d,0.01030928
2,<s>k,e,0.25773196
2,<s>k,g,0.01030928
2,<s>k,i,0.27835052
2,<s>k,l,0.01030928
2,<s>k,m,0.01030928
2,<s>k,n,0.15463918
2,<s>k,o,0.05154639
2,<s>k,r,0.01030928
2,<s>k,s,0.01030928
2,<s>k,u,0.02061856
2,<s>k,w,0.01030928
2,<s>k,y,0.02061856
2,<s>l,a,0.22911051
2,<s>l,b,0.00539084
2,<s>l,c,0.00539084
2,<s>l,d,0.00269542
2,<s>l,e,0.20215633
2,<s>l,f,0.00269542
2,<s>l,g,0.00269542
2,<s>l,i,0.25067385
2,<s>l,l,0.01078167
2,<s>l,m,0.00269542
2,<s>l,n,0.00269542
2,<s>l,o,0.22102426
2,<s>l,p,0.00269542
2,<s>l,s,0.00269542
2,<s>l,t,0.00539084
2,<s>l,u,0.03773585
2,<s>l,y,0.01347709
2,<s>m,a,0.31397459
2,<s>m,b,0.00362976
2,<s>m,c,0.00362976
2,<s>m,d,0.00181488
2,<s>m,e,0.19056261
2,<s>m,f,0.00181488
2,<s>m,g,0.00181488
2,<s>m,h,0.00362976
2,<s>m,i,0.16515426
2,<s>m,j,0.00181488
2,<s>m,l,0.00544465
2,<s>m,m,0.00181488
2,<s>m,n,0.00181488
2,<s>m,o,0.19782214
2,<s>m,p,0.00907441
2,<s>m,r,0.00544465
2,<s>m,s,0.01088929
2,<s>m,t,0.00362976
2,<s>m,u,0.05081670
2,<s>m,v,0.00181488
2,<s>m,w,0.00181488
2,<s>m,x,0.00181488
2,<s>m,y,0.01996370
2,<s>n,a,0.18222222
2,<s>n,b,0.01333333
2,<s>n,c,0.00888889
2,<s>n,d,0.00444444
2,<s>n,e,0.27111111
2,<s>n,f,0.00444444
2,<s>n,g,0.00444444
2,<s>n,h,0.01333333
2,<s>n,i,0.10222222
2,<s>n,j,0.00444444
2,<s>n,l,0.00444444
2,<s>n,m,0.00444444
2,<s>n,n,0.00444444
2,<s>n,o,0.23555556
2,<s>n,p,0.00444444
2,<s>n,r,0.00444444
2,<s>n,s,0.00888889
2,<s>n,t,0.00888889
2,<s>n,u,0.08444444
2,<s>n,v,0.00888889
2,<s>n,w,0.00444444
2,<s>n,y,0.01333333
2,<s>n,z,0.00444444
2,<s>o,a,0.01785714
2,<s>o,b,0.08928571
2,<s>o,c,0.08035714
2,<s>o,d,0.00892857
2,<s>o,e,0.01339286
2,<s>o,f,0.08928571
2,<s>o,g,0.00446429
2,<s>o,h,0.00892857
2,<s>o,i,0.00892857
2,<s>o,k,0.01339286
2,<s>o,l,0.04017857
2,<s>o,m,0.02232143
2,<s>o,n,0.04910714
2,<s>o,o,0.01339286
2,<s>o,p,0.15625000
2,<s>o,r,0.16071429
2,<s>o,s,0.00892857
2,<s>o,t,0.02232143
2,<s>o,u,0.09821429
2,<s>o,v,0.04017857
2,<s>o,w,0.03125000
2,<s>o,x,0.01339286
2,<s>o,z,0.00892857
2,<s>p,a,0.18135377
2,<s>p,b,0.00127714
2,<s>p,c,0.00510856
2,<s>p,d,0.00638570
2,<s>p,e,0.10855683
2,<s>p,f,0.00127714
2,<s>p,g,0.00255428
2,<s>p,h,0.05491699
2,<s>p,i,0.05236271
2,<s>p,j,0.00127714
2,<s>p,k,0.00127714
2,<s>p,l,0.06896552
2,<s>p,m,0.00383142
2,<s>p,n,0.00127714
2,<s>p,o,0.14176245
2,<s>p,p,0.00383142
2,<s>p,r,0.29118774
2,<s>p,s,0.00893997
2,<s>p,t,0.00383142
2,<s>p,u,0.05747126
2,<s>p,v,0.00127714
2,<s>p,y,0.00127714
2,<s>q,a,0.02222222
2,<s>q,c,0.02222222
2,<s>q,l,0.02222222
2,<s>q,t,0.04444444
2,<s>q,u,0.88888889
2,<s>r,a,0.11379310
2,<s>r,b,0.00172414
2,<s>r,c,0.00344828
2,<s>r,d,0.00172414
2,<s>r,e,0.61724138
2,<s>r,f,0.00344828
2,<s>r,g,0.00172414
2,<s>r,h,0.00517241
2,<s>r,i,0.06206897
2,<s>r,j,0.00172414
2,<s>r,l,0.00172414
2,<s>r,m,0.00172414
2,<s>r,n,0.00344828
2,<s>r,o,0.12241379
2,<s>r,p,0.00517241
2,<s>r,r,0.00344828
2,<s>r,s,0.00344828
2,<s>r,t,0.00172414
2,<s>r,u,0.03620690
2,<s>r,v,0.00172414
2,<s>r,w,0.00344828
2,<s>r,x,0.00172414
2,<s>r,y,0.00172414
2,<s>s,a,0.07862903
2,<s>s,b,0.00201613
2,<s>s,c,0.06149194
2,<s>s,d,0.00100806
2,<s>s,e,0.13306452
2,<s>s,f,0.00100806
2,<s>s,g,0.00100806
2,<s>s,h,0.08366935
2,<s>s,i,0.06955645
2,<s>s,k,0.01512097
2,<s>s,l,0.02116935
2,<s>s,m,0.01512097
2,<s>s,n,0.00604839
2,<s>s,o,0.07358871
2,<s>s,p,0.08870968
2,<s>s,q,0.00403226
2,<s>s,r,0.00302419
2,<s>s,s,0.00201613
2,<s>s,t,0.16229839
2,<s>s,u,0.13608871
2,<s>s,v,0.00100806
2,<s>s,w,0.01814516
2,<s>s,y,0.02217742
2,<s>t,a,0.09594096
2,<s>t,b,0.00369004
2,<s>t,c,0.00369004
2,<s>t,d,0.00184502
2,<s>t,e,0.16420664
